brand,brand_url,model,repair_type,price,timestamp,repair_type_matched,source_score,device_name,device_clean,repair_name,repair_clean,device_score,repair_score,price_clean,median_price,is_outlier,match_score,final_score,device_standard,repair_standard
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Haut parleur,59.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro max,haut parleur
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Micro,59.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,micro,micro,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro max,micro
Apple,https://save.co/reparation/apple/iphone-15-pro-max?shop=DT060,IPHONE 15 PRO MAX,Connecteur de charge,99.9,2026-04-05T12:01:08+00:00,True,0.5,apple iphone 15 pro max,apple iphone 15 pro max,connecteur de charge,connecteur de charge,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15 pro max,connecteur de charge
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Module Afficheur iPhone 15 Pro,209.9,2026-04-05T12:01:28+00:00,False,0.5,apple iphone 15 pro,apple iphone 15 pro,module afficheur iphone 15 pro,module afficheur iphone 15 pro,1.0,1.0,209.9,59.9,True,1.3,0.0,apple iphone 15 pro,module afficheur iphone 15 pro
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Batterie,79.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,battery,battery,1.0,1.0,79.9,59.9,False,1.3,0.65,apple iphone 15 pro,battery
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Appareil photo avant,89.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,appareil photo avant,appareil photo avant,1.0,1.0,89.9,59.9,True,1.3,0.0,apple iphone 15 pro,appareil photo avant
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Caméra Arriére iPhone 15 Pro,109.9,2026-04-05T12:01:28+00:00,False,0.5,apple iphone 15 pro,apple iphone 15 pro,camera,camera,1.0,1.0,109.9,59.9,True,1.3,0.0,apple iphone 15 pro,camera
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Ecouteur,59.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,ecouteur,ecouteur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro,ecouteur
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Haut parleur,59.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,haut parleur,haut parleur,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro,haut parleur
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Micro,59.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,micro,micro,1.0,1.0,59.9,59.9,False,1.3,0.65,apple iphone 15 pro,micro
Apple,https://save.co/reparation/apple/iphone-15-pro?shop=DT060,IPHONE 15 PRO,Connecteur de charge,99.9,2026-04-05T12:01:28+00:00,True,0.5,apple iphone 15 pro,apple iphone 15 pro,connecteur de charge,connecteur de charge,1.0,1.0,99.9,59.9,True,1.3,0.0,apple iphone 15 pro,connecteur de charge
Apple,https://save.co/reparation/apple/iphone-15-plus?shop=DT060,IPHONE 15 PLUS,Module Afficheur iPhone 15 Plus,189.9,2026-04-05T12:01:43+00:00,False,0.5,apple iphone 15 plus,apple iphone 15 plus,module afficheur iphone 15 plus,module afficheur iphone 15 plus,1.0,1.0,189.9,59.9,True,1.3,0.0,apple iphone 15 plus,module afficheur iphone 15 plus
