brand,brand_url,model,repair_type,price,timestamp,repair_type_matched
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Appareil photo avant,79.9,2026-04-05T12:07:14+00:00,True
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Caméra Arriére iPhone 14,129.9,2026-04-05T12:07:14+00:00,False
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Ecouteur,59.9,2026-04-05T12:07:14+00:00,True
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Haut parleur,59.9,2026-04-05T12:07:14+00:00,True
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Micro,59.9,2026-04-05T12:07:14+00:00,True
Apple,https://save.co/reparation/apple/iphone-14?shop=DT060,IPHONE 14,Connecteur de charge,99.9,2026-04-05T12:07:14+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Ecran iPhone 13 Pro Max,149.9,2026-04-05T12:07:24+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Batterie,69.9,2026-04-05T12:07:24+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Caméra Arriére iPhone 13 Pro Max,129.9,2026-04-05T12:07:24+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Ecouteur,49.9,2026-04-05T12:07:24+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Appareil photo avant,79.9,2026-04-05T12:07:24+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Connecteur de charge,89.9,2026-04-05T12:07:24+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,IPHONE 13 PRO MAX,Haut parleur,49.9,2026-04-05T12:07:24+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Ecran iPhone 13 Pro,149.9,2026-04-05T12:07:33+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Batterie,69.9,2026-04-05T12:07:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Caméra Arriére iPhone 13 Pro Max,129.9,2026-04-05T12:07:33+00:00,False
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Connecteur de charge,89.9,2026-04-05T12:07:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Ecouteur,49.9,2026-04-05T12:07:33+00:00,True
Apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,IPHONE 13 PRO,Appareil photo avant,79.9,2026-04-05T12:07:33+00:00,True
