title,url,price,image,source
Samsung Galaxy J6 Prime,https://images.priceoye.pk/samsung-galaxy-j6-prime-pakistan-priceoye-kl8vu-100x100.webp,27500.0,https://images.priceoye.pk/samsung-galaxy-j6-prime-pakistan-priceoye-kl8vu-100x100.webp,www.priceoye.com
Samsung Galaxy C10,https://images.priceoye.pk/samsung-galaxy-c10-pakistan-priceoye-5g4qz-100x100.webp,65000.0,https://images.priceoye.pk/samsung-galaxy-c10-pakistan-priceoye-5g4qz-100x100.webp,www.priceoye.com
Samsung Galaxy S9 Active,https://images.priceoye.pk/samsung-galaxy-s9-active-pakistan-priceoye-r7a2r-100x100.webp,91000.0,https://images.priceoye.pk/samsung-galaxy-s9-active-pakistan-priceoye-r7a2r-100x100.webp,www.priceoye.com
Samsung Galaxy A8s,https://images.priceoye.pk/samsung-galaxy-a8s-pakistan-priceoye-yd3h3-100x100.webp,73999.0,https://images.priceoye.pk/samsung-galaxy-a8s-pakistan-priceoye-yd3h3-100x100.webp,www.priceoye.com
Samsung Galaxy S10 plus Exynos,https://images.priceoye.pk/samsung-galaxy-s10-plus-exynos-pakistan-priceoye-yemoi-100x100.webp,219999.0,https://images.priceoye.pk/samsung-galaxy-s10-plus-exynos-pakistan-priceoye-yemoi-100x100.webp,www.priceoye.com
Samsung Galaxy S10e SD855,https://images.priceoye.pk/samsung-galaxy-s10e-sd855-pakistan-priceoye-v9ovu-100x100.webp,125000.0,https://images.priceoye.pk/samsung-galaxy-s10e-sd855-pakistan-priceoye-v9ovu-100x100.webp,www.priceoye.com
Samsung Galaxy J2 Pro (2019),https://images.priceoye.pk/samsung-galaxy-j2-pro-2019-pakistan-priceoye-yvjvq-100x100.webp,26999.0,https://images.priceoye.pk/samsung-galaxy-j2-pro-2019-pakistan-priceoye-yvjvq-100x100.webp,www.priceoye.com
Samsung Galaxy Note 10 Plus Exynos,https://images.priceoye.pk/samsung-galaxy-note-10-plus-exynos-pakistan-priceoye-ak6yp-100x100.webp,195999.0,https://images.priceoye.pk/samsung-galaxy-note-10-plus-exynos-pakistan-priceoye-ak6yp-100x100.webp,www.priceoye.com
Samsung Galaxy Note10 Plus SD855,https://images.priceoye.pk/samsung-galaxy-note10-plus-sd855-pakistan-priceoye-ua0wm-100x100.webp,195999.0,https://images.priceoye.pk/samsung-galaxy-note10-plus-sd855-pakistan-priceoye-ua0wm-100x100.webp,www.priceoye.com
Samsung Galaxy S10 Exynos,https://images.priceoye.pk/samsung-galaxy-s10-exynos-pakistan-priceoye-u1ijx-100x100.webp,139999.0,https://images.priceoye.pk/samsung-galaxy-s10-exynos-pakistan-priceoye-u1ijx-100x100.webp,www.priceoye.com
Samsung Galaxy S8 Lite,https://images.priceoye.pk/samsung-galaxy-s8-lite-pakistan-priceoye-2s4f0-100x100.webp,73999.0,https://images.priceoye.pk/samsung-galaxy-s8-lite-pakistan-priceoye-2s4f0-100x100.webp,www.priceoye.com
Samsung Galaxy E5,https://images.priceoye.pk/samsung-galaxy-e5-pakistan-priceoye-100x100.webp,24899.0,https://images.priceoye.pk/samsung-galaxy-e5-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Grand Max,https://images.priceoye.pk/samsung-galaxy-grand-max-g720-sm-g7202-d-has-no-lte-support-pakistan-priceoye-otc03-100x100.webp,10699.0,https://images.priceoye.pk/samsung-galaxy-grand-max-g720-sm-g7202-d-has-no-lte-support-pakistan-priceoye-otc03-100x100.webp,www.priceoye.com
Samsung Galaxy A7,https://images.priceoye.pk/samsung-galaxy-a7-pakistan-priceoye-100x100.webp,49999.0,https://images.priceoye.pk/samsung-galaxy-a7-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy E7,https://images.priceoye.pk/samsung-galaxy-e7-pakistan-priceoye-100x100.webp,25000.0,https://images.priceoye.pk/samsung-galaxy-e7-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Core Prime,https://images.priceoye.pk/samsung-galaxy-core-prime-pakistan-priceoye-ia92o-100x100.webp,12999.0,https://images.priceoye.pk/samsung-galaxy-core-prime-pakistan-priceoye-ia92o-100x100.webp,www.priceoye.com
Samsung Galaxy A3 Duos,https://images.priceoye.pk/samsung-galaxy-a3-duos-pakistan-priceoye-100x100.webp,24700.0,https://images.priceoye.pk/samsung-galaxy-a3-duos-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy A5 (2019),https://images.priceoye.pk/samsung-galaxy-a5-pakistan-priceoye-100x100.webp,22999.0,https://images.priceoye.pk/samsung-galaxy-a5-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy A5 Dual SIM,https://images.priceoye.pk/samsung-galaxy-a5-dual-sim-pakistan-priceoye-100x100.webp,31500.0,https://images.priceoye.pk/samsung-galaxy-a5-dual-sim-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy A3,https://images.priceoye.pk/samsung-galaxy-a3-pakistan-priceoye-100x100.webp,28499.0,https://images.priceoye.pk/samsung-galaxy-a3-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Note Edge,https://images.priceoye.pk/samsung-galaxy-note-edge-pakistan-priceoye-f7eun-100x100.webp,47249.0,https://images.priceoye.pk/samsung-galaxy-note-edge-pakistan-priceoye-f7eun-100x100.webp,www.priceoye.com
Samsung Galaxy Note 4,https://images.priceoye.pk/samsung-galaxy-note-4-pakistan-priceoye-lry9l-100x100.webp,42999.0,https://images.priceoye.pk/samsung-galaxy-note-4-pakistan-priceoye-lry9l-100x100.webp,www.priceoye.com
Samsung Galaxy Grand Prime,https://images.priceoye.pk/samsung-galaxy-grand-prime-pakistan-priceoye-100x100.webp,16999.0,https://images.priceoye.pk/samsung-galaxy-grand-prime-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Alpha,https://images.priceoye.pk/samsung-galaxy-alpha-pakistan-priceoye-8muw4-100x100.webp,34499.0,https://images.priceoye.pk/samsung-galaxy-alpha-pakistan-priceoye-8muw4-100x100.webp,www.priceoye.com
Samsung Galaxy Alpha G850,https://images.priceoye.pk/samsung-galaxy-alpha-g850-pakistan-priceoye-100x100.webp,29999.0,https://images.priceoye.pk/samsung-galaxy-alpha-g850-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy S5 Duos,https://images.priceoye.pk/samsung-galaxy-s5-duos-pakistan-priceoye-afphk-100x100.webp,36499.0,https://images.priceoye.pk/samsung-galaxy-s5-duos-pakistan-priceoye-afphk-100x100.webp,www.priceoye.com
Samsung Galaxy F52,https://images.priceoye.pk/samsung-galaxy-f52-pakistan-priceoye-shugz-100x100.webp,64999.0,https://images.priceoye.pk/samsung-galaxy-f52-pakistan-priceoye-shugz-100x100.webp,www.priceoye.com
Samsung Galaxy S III mini,https://images.priceoye.pk/samsung-galaxy-s-iii-mini-pakistan-priceoye-100x100.webp,20000.0,https://images.priceoye.pk/samsung-galaxy-s-iii-mini-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy A62,https://images.priceoye.pk/samsung-galaxy-a62-pakistan-priceoye-6xhh2-100x100.webp,62999.0,https://images.priceoye.pk/samsung-galaxy-a62-pakistan-priceoye-6xhh2-100x100.webp,www.priceoye.com
Samsung Galaxy Note 2,https://images.priceoye.pk/samsung-galaxy-note-2-pakistan-priceoye-100x100.webp,28000.0,https://images.priceoye.pk/samsung-galaxy-note-2-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Ativ S,https://images.priceoye.pk/samsung-ativ-s-pakistan-priceoye-100x100.webp,20000.0,https://images.priceoye.pk/samsung-ativ-s-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy S Duos S7562,https://images.priceoye.pk/samsung-galaxy-s-duos-s7562-pakistan-priceoye-100x100.webp,20000.0,https://images.priceoye.pk/samsung-galaxy-s-duos-s7562-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Ace Duos,https://images.priceoye.pk/samsung-galaxy-ace-duos-pakistan-priceoye-100x100.webp,19399.0,https://images.priceoye.pk/samsung-galaxy-ace-duos-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy S3,https://images.priceoye.pk/samsung-galaxy-s3-pakistan-priceoye-100x100.webp,34990.0,https://images.priceoye.pk/samsung-galaxy-s3-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy Beam,https://images.priceoye.pk/samsung-galaxy-beam-pakistan-priceoye-100x100.webp,22000.0,https://images.priceoye.pk/samsung-galaxy-beam-pakistan-priceoye-100x100.webp,www.priceoye.com
Samsung Galaxy S Blaze 4G,https://images.priceoye.pk/samsung-galaxy-s-blaze-4g-pakistan-priceoye-100x100.webp,22000.0,https://images.priceoye.pk/samsung-galaxy-s-blaze-4g-pakistan-priceoye-100x100.webp,www.priceoye.com
