brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim-60%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-galaxy-m-33-5-g-marseille,samsung,tiroir carte sim,34.74,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,2.36,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,tiroir carte sim,2.36,www.phoneandcbd.com,Tiroir carte Sim,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,2.36,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-pro-marseille,samsung,batterie,2.36,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Facade avant-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-pro-marseille,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,89.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,89.91,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-pro-marseille,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,Facade avant-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-pro-marseille,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,89.91,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,89.91,www.phoneandcbd.com,Ecran LCD-14%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,ecran lcd,89.91,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,60.11,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,60.11,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,60.11,www.phoneandcbd.com,Batterie-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,ecran lcd,60.11,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,34.74,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,34.74,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,34.74,www.phoneandcbd.com,Vibreur-10%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-4s-marseille,samsung,ecran lcd,34.74,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,35.91,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,35.91,www.phoneandcbd.com,Ecran LCD,05-04-2026
samsung,www.phoneandcbd.com,samsung,ecran lcd,35.91,www.phoneandcbd.com,Vitre tactile-16%,05-04-2026
