brand,brand_url,model,repair_type,price,date_Of_Scrapping,repair_type_matched
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,ecouteur,59.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,haut parleur,59.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,micro,59.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14-plus?shop=DT060,iphone 14 plus,connecteur de charge,99.9,2026-04-05T12:06:16+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,module afficheur iphone 14,149.9,2026-04-05T12:07:14+00:00,False
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,batterie,79.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,appareil photo avant,79.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,caméra arriére iphone 14,129.9,2026-04-05T12:07:14+00:00,False
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,ecouteur,59.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,haut parleur,59.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,micro,59.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-14?shop=DT060,iphone 14,connecteur de charge,99.9,2026-04-05T12:07:14+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,ecran iphone 13 pro max,149.9,2026-04-05T12:07:24+00:00,False
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,batterie,69.9,2026-04-05T12:07:24+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,caméra arriére iphone 13 pro max,129.9,2026-04-05T12:07:24+00:00,False
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,ecouteur,49.9,2026-04-05T12:07:24+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,appareil photo avant,79.9,2026-04-05T12:07:24+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,connecteur de charge,89.9,2026-04-05T12:07:24+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro-max?shop=DT060,iphone 13 pro max,haut parleur,49.9,2026-04-05T12:07:24+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,ecran iphone 13 pro,149.9,2026-04-05T12:07:33+00:00,False
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,batterie,69.9,2026-04-05T12:07:33+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,caméra arriére iphone 13 pro max,129.9,2026-04-05T12:07:33+00:00,False
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,connecteur de charge,89.9,2026-04-05T12:07:33+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,ecouteur,49.9,2026-04-05T12:07:33+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,appareil photo avant,79.9,2026-04-05T12:07:33+00:00,True
apple,https://save.co/reparation/apple/iphone-13-pro?shop=DT060,iphone 13 pro,haut parleur,49.9,2026-04-05T12:07:33+00:00,True
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,ecran iphone 13,129.9,2026-04-05T12:07:42+00:00,False
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,batterie,69.9,2026-04-05T12:07:42+00:00,True
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,caméra arriére,59.9,2026-04-05T12:07:42+00:00,False
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,caméra frontale,49.9,2026-04-05T12:07:42+00:00,False
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,connecteur de charge,79.9,2026-04-05T12:07:42+00:00,True
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,ecouteur,49.9,2026-04-05T12:07:42+00:00,True
apple,https://save.co/reparation/apple/iphone-13?shop=DT060,iphone 13,haut parleur,39.9,2026-04-05T12:07:42+00:00,True
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,ecran iphone 13 mini,129.9,2026-04-05T12:07:59+00:00,False
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,batterie,69.9,2026-04-05T12:07:59+00:00,True
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,caméra arriére,59.9,2026-04-05T12:07:59+00:00,False
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,caméra frontale,49.9,2026-04-05T12:07:59+00:00,False
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,connecteur de charge,89.9,2026-04-05T12:07:59+00:00,True
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,ecouteur,39.9,2026-04-05T12:07:59+00:00,True
apple,https://save.co/reparation/apple/iphone-13-mini?shop=DT060,iphone 13 mini,haut parleur,39.9,2026-04-05T12:07:59+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,module afficheur refurb,319.9,2026-04-05T12:08:10+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,batterie,79.9,2026-04-05T12:08:10+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,connecteur de charge,79.9,2026-04-05T12:08:10+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,caméra frontale,99.9,2026-04-05T12:08:10+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,façade arrière,129.9,2026-04-05T12:08:10+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,ecouteur,39.9,2026-04-05T12:08:10+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,haut parleur,49.9,2026-04-05T12:08:10+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,diagnostique,19.9,2026-04-05T12:08:10+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,désoxydation galaxy a8 2018,79.9,2026-04-05T12:08:10+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro-max?shop=DT060,iphone 12 pro max,mise à jour logiciel lumia 535,39.9,2026-04-05T12:08:10+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,module afficheur refurb,239.9,2026-04-05T12:08:27+00:00,False
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,batterie,39.9,2026-04-05T12:08:27+00:00,True
apple,https://save.co/reparation/apple/iphone-12-pro?shop=DT060,iphone 12 pro,connecteur de charge,39.9,2026-04-05T12:08:27+00:00,True
